turn_number,speaker,text,stage
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Aishwarya Ramesh Kalal?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,No.,NA
7,Assistant,Have you ever done a job before?,Experience
8,User,No.,NA
9,Assistant,Is BACHELOR OF COMMERCEyour highest level of education?,Education
10,User,Yes.,NA
11,Assistant,Okay. What is your highest level of education?,Education
12,User,B.Com graduates completed.,Education
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
14,User,Office work in the bank.,NA
15,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
16,User,Bank offer.,NA
17,Assistant,"Do you have any other job-related needs? Like training courses, accommodation, or travel help?",Additional Needs
18,User,No.,NA
19,Assistant,Let me confirm your details. You are looking for a Office work in the bank Bank offer job. Is this correct? Please say yes to continue or tell me what to change.,Confirmation
20,User,Yes.,NA
21,Assistant,Are you looking for a job in Raybag Belagavi? Hey are you still on call?,Intent
22,User,Yes.,NA
23,Assistant,Are you looking for a job in Raybag Belagavi?,Intent
24,User,Yes.,NA
25,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
26,User,Okay.,NA
27,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
28,User,"Okay, it will work.",NA
29,Assistant,Is this your WhatsApp Number?,WhatsApp Number
30,User,Yes.,NA
31,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Upendra V Nayak?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,"Hmm, yes.",NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,Twenty twenty six.,NA
7,Assistant,Have you ever done a job before?,Experience
8,User,Didn't do it.,NA
9,Assistant,Is B.COM.your highest level of education?,Education
10,User,Yes.,NA
11,Assistant,Hey are you still on call?,Silence Check
12,User,Yes.,NA
13,Assistant,"Okay, great. So, is B.COM. your highest level of education?",Education
14,User,What?,NA
15,Assistant,Is B.COM. your highest level of education?,Education
16,User,"Nothing, I will pass the time there.",NA
17,Assistant,"I'm sorry, I didn't understand. Could you please tell me if B.COM. is your highest level of education?",Education
18,User,"Yes, this is it.",NA
19,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
20,User,Full time job.,Job Type
21,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
22,User,"Bank work, any business related to this.",NA
23,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
24,User,"Anything is possible, ma'am.",NA
25,Assistant,"Let me confirm your details. You are looking for a full-time job Bank work, any business related to this job. Is this correct? Please say yes to continue or tell me what to change.",Job Type
26,User,Please cut the phone.,NA
27,Assistant,"Sorry, looks like there is a network issue. I will call you later.",Network Drop
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Sangappa Challayi?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes ma'am.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"It has changed, it is twenty-four.",NA
7,Assistant,Have you ever done a job before?,Experience
8,User,I work in H.G. Bank.,NA
9,Assistant,How many years of work experience do you have?,Experience
10,User,Two years.,NA
11,Assistant,What was the last title of your last job role?,Job Role
12,User,Sales Officer.,NA
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
14,User,Full-time job.,Job Type
15,Assistant,What job roles are you looking for? You can tell any job you are looking for. Hey are you still on call?,Job Role
16,User,"Accounting management, banking worker.",NA
17,Assistant,"Do you have any other job-related needs? Like training courses, accommodation, or travel help?",Additional Needs
18,User,No.,NA
19,Assistant,"Let me confirm your details. You are looking for a full-time job Accounting management, banking worker job. Is this correct? Please say yes to continue or tell me what to change.",Job Type
20,User,"Nothing, continue.",NA
21,Assistant,Are you looking for a job in Chikodi Belagavi?,Intent
22,User,Okay.,NA
23,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
24,User,Okay.,NA
25,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
26,User,Okay.,NA
27,Assistant,Is this your WhatsApp Number?,WhatsApp Number
28,User,Yes.,NA
29,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Vinuta Annappagouda Patil?",Greeting
2,User,"Yes, yes ma'am, tell me.",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,No ma'am.,NA
5,Assistant,I understand. Would you still like to continue this call to learn about jobs near you?,Re-engagement
6,User,Yes ma'am.,NA
7,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
8,User,Before ma'am.,NA
9,Assistant,Have you ever done a job before?,Experience
10,User,Yes madam.,NA
11,Assistant,How many years of work experience do you have?,Experience
12,User,I am working recently.,NA
13,Assistant,What was the last title of your last job role?,Job Role
14,User,"Phone, phone sir.",NA
15,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
16,User,Full time work.,Job Type
17,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
18,User,I will pay in the bank.,NA
19,Assistant,"I'm sorry, I didn't understand. Could you please tell me what job roles you are looking for? For example, data entry operator, salesperson, electrician, or machine operator.",Job Role
20,User,Data entry.,NA
21,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
22,User,No ma'am.,NA
23,Assistant,Let me confirm your details. You are looking for a full-time job Data entry job. Is this correct? Please say yes to continue or tell me what to change. Hey are you still on call?,Job Type
24,User,Yes ma'am.,NA
25,Assistant,Let me confirm your details. You are looking for a full-time job Data entry job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
26,User,No requirement.,NA
27,Assistant,"I'm sorry, I didn't understand. Could you please say yes to continue or tell me what to change? Hey are you still on call?",Confirmation
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Priya?",Greeting
2,User,"Hmm, yes.",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,No. No no.,NA
5,Assistant,I understand. Would you still like to continue this call to learn about jobs near you?,Re-engagement
6,User,Okay.,NA
7,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
8,User,No.,NA
9,Assistant,Have you ever done a job before?,Experience
10,User,No.,NA
11,Assistant,Is Class 12 your highest level of education?,Education
12,User,No.,NA
13,Assistant,Okay. What is your highest level of education?,Education
14,User,"Ah, we are studying for a degree.",NA
15,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
16,User,Government.,NA
17,Assistant,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.",Job Role
18,User,For a government post.,NA
19,Assistant,"Do you have any other job-related needs? Like training courses, accommodation, or travel help?",Additional Needs
20,User,"Yes, it is there.",NA
21,Assistant,Could you please tell me what those needs are?,NA
22,User,"If you tell the company name, I will tell.",NA
23,Assistant,"We need a few basic details about you, including your highest level of education, location, and what kind of job you are looking for. We will use this information to connect you to relevant jobs and organizations. Do you have any other job-related needs? Like training courses, accommodation, or travel help?",Education
24,User,What kind of job do you want? We need information about the job.,Intent
25,Assistant,"We need a few basic details about you, including your highest level of education, location, and what kind of job you are looking for. We will use this information to connect you to relevant jobs and organizations. Do you have any other job-related needs? Like training courses, accommodation, or travel help?",Education
26,User,"Our education, our education is free.",NA
27,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
28,User,Okay.,NA
29,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
30,User,Okay.,NA
31,Assistant,Is this your WhatsApp Number?,WhatsApp Number
32,User,Yes.,NA
33,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with GOVINDRADDI HEMARADDI MALLARADDI?",Greeting
2,User,Hmm hmm.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,"No, which village is it?",Location Area
5,Assistant,I understand. Would you still like to continue this call to learn about jobs near you?,Re-engagement
6,User,"Yes, I will do it on Monday.",NA
7,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
8,User,"Yes, tell me, I would like to.",NA
9,Assistant,Have you ever done a job before?,Experience
10,User,"Twenty-one, twenty-one has changed.",NA
11,Assistant,Have you ever done a job before?,Experience
12,User,"Hey, we do farm work. We work in the field.",NA
13,Assistant,How many years of work experience do you have?,Experience
14,User,For eight years.,NA
15,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
16,User,"We need a railway job, S W R.",NA
17,Assistant,"What job roles are you looking for? You can tell any job you are looking for. For example: data entry operator, salesperson, electrician, or machine operator.",Job Role
18,User,We have applied for a Central Government job.,NA
19,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
20,User,Central government. Central government.,NA
21,Assistant,Let me confirm your details. You are looking for a railway job Central Government job job. Is this correct? Please say yes to continue or tell me what to change.,Confirmation
22,User,Our picture is finished.,NA
23,Assistant,"Are you looking for a job in Navalgund, Dharwad-582208 DHARWAD?",Intent
24,User,"Yes, it is here.",NA
25,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
26,User,Why is it yours? Why is it yours?,NA
27,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
28,User,"Yes, I will search.",NA
29,Assistant,Is this your WhatsApp Number? Hey are you still on call?,WhatsApp Number
30,User,"Hey, our Navalgund college is over, this is in Hubballi.",NA
31,Assistant,Is this your WhatsApp Number?,WhatsApp Number
32,User,"Yes, send it.",NA
33,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
34,User,Yes.,NA
35,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with SHRAVANAKUMAR SANGAPPA HARTI?",Greeting
2,User,Yes madam.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes madam.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,Nineteen madam.,NA
7,Assistant,Have you ever done a job before?,Experience
8,User,"Yes madam, there in Dharwad, there is an area in the interest, right? What is that? Tata Motors is there, right? Tata Motors.",Location Area
9,Assistant,How many years of work experience do you have?,Experience
10,User,"I have only gone for four months, madam.",NA
11,Assistant,Is MECHANIC ELECTRIC VEHICLE (NSQF) your highest level of education?,Education
12,User,"Education, what is that? Hey Gangadhar, come here.",NA
13,Assistant,Is MECHANIC ELECTRIC VEHICLE (NSQF) your highest level of education?,Education
14,User,"No, our boy is talking, look madam. They are asking if our boy is studying in school or something.",NA
15,Assistant,Is MECHANIC ELECTRIC VEHICLE (NSQF) your highest level of education?,Education
16,User,"This is our item, it is finished.",NA
17,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
18,User,We want to do a full-time job.,Intent
19,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
20,User,"We will go for a government job or a private job, ma'am.",NA
21,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
22,User,"Yes, there is nothing like that, take it madam, it happens, it happens anytime.",NA
23,Assistant,Let me confirm your details. You are looking for a full-time job Anything job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
24,User,Yes ma'am.,NA
25,Assistant,"Are you looking for a job in Dastikoppa, Dharwad DHARWAD?",Intent
26,User,"In Dharwad Dastikoppa, there is no such work there madam, that is our village.",Location Area
27,Assistant,What is the name of the district you are looking for a job in?,Intent
28,User,"We are from Dharwad district madam, here Dharwad district.",Location District
29,Assistant,"Ok thanks, and what is the name of the area you are looking for a job in?",Intent
30,User,"Madam, if I get a job within our Dharwad district, it will be good.",Location District
31,Assistant,Thank you for sharing that you are looking for a job in inDharwad. Say yes to confirm or tell us any changes.,Intent
32,User,"They have called from here, sir.",NA
33,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Amit Basavaraj Ramgurwadi?",Greeting
2,User,Yes,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"It has changed, twenty-three.",NA
7,Assistant,Have you ever done a job before?,Experience
8,User,"Yes, we have done CNC work.",NA
9,Assistant,How many years of work experience do you have?,Experience
10,User,Six months.,NA
11,Assistant,Is BACHELOR OF COMMERCEyour highest level of education?,Education
12,User,"Yes, B.Com is complete.",NA
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
14,User,Full time job.,Job Type
15,Assistant,What job roles are you looking for? You can tell any job you are looking for,Job Role
16,User,Agriculture department or government.,NA
17,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
18,User,I will do it.,NA
19,Assistant,Let me confirm your details. You are looking for a full-time job Agriculture department or government job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
20,User,Okay. Yes yes.,NA
21,Assistant,Are you looking for a job in Khanapur Belagavi?,Intent
22,User,Yes.,NA
23,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
24,User,Okay.,NA
25,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
26,User,Are you deducting the amount?,NA
27,Assistant,We do not deduct any amount. Is it okay if we send you messages on WhatsApp?,WhatsApp Opt-in
28,User,Send it on WhatsApp and see.,NA
29,Assistant,Is this your WhatsApp Number?,WhatsApp Number
30,User,Yes.,NA
31,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Jyoti Ningappa Moogannavar?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Thank you.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"No, it is wrong.",NA
7,Assistant,Have you ever done a job before?,Experience
8,User,No.,NA
9,Assistant,Is BACHELOR OF COMMERCE your highest level of education?,Education
10,User,What?,NA
11,Assistant,Is BACHELOR OF COMMERCE your highest level of education?,Education
12,User,"Yes, OSS Commerce.",NA
13,Assistant,Okay. What is your highest level of education?,Education
14,User,B.Com.,NA
15,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
16,User,"Internship, full-time job, bank.",Job Type
17,Assistant,"What job roles are you looking for? You can tell any job you are looking for. For example, data entry operator, salesperson, electrician, or machine operator.",Job Role
18,User,Banking.,NA
19,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
20,User,No.,NA
21,Assistant,"Let me confirm your details. You are looking for a Internship, full-time job Banking job. Is this correct? Please say yes to continue or tell me what to change.",Job Type
22,User,Yes.,NA
23,Assistant,Are you looking for a job in Savadatti Belagavi?,Intent
24,User,"Yes, Savadatti Belagavi, Bailhongal.",NA
25,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.���",Location Area
26,User,Okay.,NA
27,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
28,User,Okay.,NA
29,Assistant,Is it okay if we send you messages on WhatsApp?,WhatsApp Opt-in
30,User,"Yes okay, it's alright.",NA
31,Assistant,Is this your WhatsApp Number?,WhatsApp Number
32,User,Yes.,NA
33,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Praveen Neelakanth Ambiger?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"Twenty-one, twenty-one.",NA
7,Assistant,Have you ever done a job before?,Experience
8,User,"No, I haven't.",NA
9,Assistant,Is BACHELOR OF ARTS your highest level of education?,Education
10,User,I have a degree.,NA
11,Assistant,Okay. What is your highest level of education?,Education
12,User,I didn't understand.,Clarification
13,Assistant,Is BACHELOR OF ARTS your highest level of education?,Education
14,User,I am studying.,NA
15,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
16,User,They are searching inside banking.,NA
17,Assistant,"What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.",Job Role
18,User,I will give it to the banking college.,NA
19,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
20,User,Nothing.,NA
21,Assistant,Let me confirm your details. You are looking for a banking job. Is this correct? Please say yes to continue or tell me what to change.,Confirmation
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Shripadagouda Basanagouda Patil?",Greeting
2,User,Yes.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,It has changed.,NA
7,Assistant,Okay. What is your current age?,Profile
8,User,Twenty two.,NA
9,Assistant,Have you ever done a job before?,Experience
10,User,No.,NA
11,Assistant,Is BACHELOR OF COMMERCE your highest level of education?,Education
12,User,Bachelor of Commerce. Yes.,Education
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
14,User,Full-time job.,Job Type
15,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
16,User,Government job.,NA
17,Assistant,"Do you have any other job-related needs? Like training courses, accommodation, or travel help?",Additional Needs
18,User,Accommodation.,Additional Needs
19,Assistant,Let me confirm your details. You are looking for a full-time job Government job job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
20,User,Once again,NA
21,Assistant,Let me confirm your details. You are looking for a full-time job Government job job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
22,User,Yes.,NA
23,Assistant,Are you looking for a job in Kundgol Dharwad?,Intent
24,User,Yes.,NA
25,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
26,User,"Yes, yes, you can send it.",NA
27,Assistant,Is this your WhatsApp Number?,WhatsApp Number
28,User,Yes.,NA
29,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
30,User,Where are you calling from?,NA
31,Assistant,"Sorry, looks like there is a network issue. I will call you later.",Network Drop
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Irappa Kasappa Aigali?",Greeting
2,User,Yes madam.,NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes okay madam.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"It has changed, madam. Twenty-three, madam.",NA
7,Assistant,Have you ever done a job before?,Experience
8,User,"I have done it in that company, I have done it in Bangalore, madam.",NA
9,Assistant,How many years of work experience do you have?,Experience
10,User,Hello.,NA
11,Assistant,How many years of work experience do you have?,Experience
12,User,"One year, one year.",NA
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
14,User,"Full-time job, banking.",Job Type
15,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
16,User,Banking.,NA
17,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
18,User,Banking.,NA
19,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
20,User,"Yes, yes.",NA
21,Assistant,Could you please specify what those needs are?,NA
22,User,Travel,Additional Needs
23,Assistant,Let me confirm your details. You are looking for a full-time job Banking job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
24,User,Yes.,NA
25,Assistant,Are you looking for a job in Athni Belagavi?,Intent
26,User,Yes yes.,NA
27,Assistant,"Thank you for confirming your job location. There are some jobs available in your area. To know more, please say ���okay.��� Hey are you still on call?",Location Area
28,User,Okay.,NA
29,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
30,User,Okay.,NA
31,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
32,User,Which which?,NA
33,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp? Hey are you still on call? Hey are you there?",WhatsApp Opt-in
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with VIJAY IRAPPA KAMATAGI?",Greeting
2,User,"Yes, hello.",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"No, twenty-three.",NA
7,Assistant,Have you ever done a job before?,Experience
8,User,No.,NA
9,Assistant,Is BACHELOR OF ARTS your highest level of education?,Education
10,User,"Yes, B.H.A.C.H.E.L.O. of Arts.",NA
11,Assistant,Okay. What is your highest level of education?,Education
12,User,Sixty two point forty.,NA
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
14,User,Full time.,Job Type
15,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
16,User,It could be aviation or it could be banking.,NA
17,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
18,User,Nothing like that.,NA
19,Assistant,Let me confirm your details. You are looking for a full-time aviation or banking job. Is this correct? Please say yes to continue or tell me what to change. Hey are you still on call?,Job Type
20,User,Hello.,NA
21,Assistant,"Sorry, looks like there is a network issue. I will call you later.",Network Drop
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Maruti Vashappa Malangi?",Greeting
2,User,"Yes madam, who is it?",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,No madam.,NA
5,Assistant,I understand. Would you still like to continue this call to learn about jobs near you?,Re-engagement
6,User,"Yes, tell me madam.",NA
7,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
8,User,It has changed.,NA
9,Assistant,Okay. What is your current age? Hey are you still on call?,Profile
10,User,Yes,NA
11,Assistant,Okay. What is your current age?,Profile
12,User,Twenty three.,NA
13,Assistant,Have you ever done a job before?,Experience
14,User,No.,NA
15,Assistant,Is BACHELOR OF ARTS your highest level of education?,Education
16,User,Hello.,NA
17,Assistant,Is BACHELOR OF ARTS your highest level of education?,Education
18,User,Yes,NA
19,Assistant,"What type of job are you looking for? For example: internship, full-time job, part time job, or something else.",Job Type
20,User,Competitive exam phase.,NA
21,Assistant,"What job roles are you looking for? You can tell any job you are looking for, for example, data entry operator, salesperson, electrician, or machine operator.",Job Role
22,User,State Government.,NA
23,Assistant,"Do you have any other job-related needs? like training courses, accommodation, or travel help?",Additional Needs
24,User,There is nothing like that.,NA
25,Assistant,Let me confirm your details. You are looking for a Competitive exam phase State Government job. Is this correct? Please say yes to continue or tell me what to change.,Confirmation
26,User,Yes.,NA
27,Assistant,Are you looking for a job in Hukeri Belagavi?,Intent
28,User,No.,NA
29,Assistant,What is the name of the district you are looking for a job in?,Intent
30,User,Belgaum,NA
31,Assistant,"Ok thanks, and what is the name of the area you are looking for a job in?",Intent
32,User,Sankeshwar.,NA
33,Assistant,"After this call, we will send you a link. You can use it to open the app, search for jobs, and apply. Is it okay if we send you messages on WhatsApp?",WhatsApp Opt-in
34,User,Okay.,NA
35,Assistant,Is this your WhatsApp Number?,WhatsApp Number
36,User,Yes.,NA
37,Assistant,Congratulations! You can now see jobs near you and apply. We will send you details on WhatsApp soon. Thank you.,Completion
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with MARUTI HANAMAPPA BELUR?",Greeting
2,User,"Yes, tell me madam.",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,Yes madam.,NA
5,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
6,User,"Twenty is going on, madam, now.",NA
7,Assistant,Have you ever done a job before?,Experience
8,User,"Tell me madam, I have finished college, I do farm work.",NA
9,Assistant,Is Welder (NSQF)your highest level of education?,Education
10,User,"Yes madam, it's Welder. What, Maruti Puri? It's not there. Hello.",NA
11,Assistant,Okay. What is your highest level of education?,Education
12,User,"This welding, I have finished welding, sir, madam, ITI.",NA
13,Assistant,"What type of job are you looking for? For example: internship, full-time job, part-time job, or something else.",Job Type
14,User,"I will do it, madam.",NA
15,Assistant,What job roles are you looking for? You can tell any job you are looking for.,Job Role
16,User,I work in a railway job.,NA
17,Assistant,"Do you have any other job-related needs? Like training courses, accommodation, or travel help?",Additional Needs
18,User,"No no, it will be there madam, everything will be there.",NA
19,Assistant,Let me confirm your details. You are looking for a full-time job railway job job. Is this correct? Please say yes to continue or tell me what to change.,Job Type
20,User,"Okay madam, we have come to eat peanuts.",NA
21,Assistant,"Are you looking for a job in Vidyanagar, Hubli-580021 Dharwad district?",Intent
1,Assistant,"This call is being recorded for quality and training purposes. Hello, am I speaking with Murugesh Jatti?",Greeting
2,User,"Yes, that's right.",NA
3,Assistant,Thank you for confirming. My name is Maya. I am an AI Assistant from UP Skilling. I am calling to help you find jobs where you live. Are you looking for a job right now?,Self Introduction
4,User,"No, we are at work.",NA
5,Assistant,I understand. Would you still like to continue this call to learn about jobs near you?,Re-engagement
6,User,"Yes, tell me.",NA
7,Assistant,Great. Our records show your age is 18. Is that correct or has that changed?,Profile
